nr,intrebare,raspuns_sistem,verdict
1,Cine predă cursul de Baze de Date?,"Nu dețin informații despre cadrul didactic care predă cursul de Baze de Date în sursele disponibile. Informațiile furnizate conțin doar descrieri ale conținutului cursurilor, nu și numele profesorilor titulari.

Pentru a afla cine predă cursul de Baze de Date, îți recomand să:
- Consulți **orarul facultății** disponibil pe [cs.pub.ro](https://cs.pub.ro) sau [acs.pub.ro](https://acs.pub.ro)
- Verifici **platforma de cursuri** (cs.curs.pub.ro sau acs.curs.pub.ro)
- Contactezi **secretariatul facultății** sau **departamentul AII** (Automatică și Informatică Industrială), care găzduiește această disciplină",
2,Cine este titularul disciplinei Sisteme de Operare?,"Din informațiile disponibile, nu pot identifica cu certitudine titularul specific al disciplinei **Sisteme de Operare** (ca disciplină distinctă de licență).

Din sursele disponibile, pot menționa informații parțiale relevante:

- **Conf. dr. ing. Ștefan Mocanu** predă **Utilizarea Sistemelor de Operare** (curs), anul I, la specializarea Automatică și Calculatoare (Departamentul AII).
- **Prof. dr. ing. Mihnea Moisescu** predă **Utilizarea Sistemelor de Operare**, anul I, Licență, Automatică și Calculatoare.
- Disciplina **Sisteme de Operare** apare menționată în contextul programelor de **masterat** (Sursa 7), însă titularul nu este specificat explicit în sursele disponibile.

Pentru informații precise și actualizate despre titularul disciplinei **Sisteme de Operare**, vă recomand să consultați:
- Site-ul facultății: **www.acs.pub.ro**
- Orarul sau fișa disciplinei publicată pe platforma **curs.upb.ro**
- Secretariatul facultății",
3,Ce materii predă profesorul Șorici Alexandru?,"Nu dețin informații despre materiile predate de profesorul Șorici Alexandru. Din sursele disponibile, Alexandru Șorici apare menționat doar ca **student** în cadrul Comisiei de Asigurare a Calității a facultății, nu ca cadru didactic.

Dacă doriți informații despre activitatea sa didactică, vă recomand să consultați direct site-ul facultății sau să contactați secretariatul.",
4,Cine coordonează laboratorul de Rețele de Calculatoare?,"Din informațiile disponibile, nu pot oferi un răspuns precis cu privire la coordonatorul **laboratorului de Rețele de Calculatoare** din cadrul facultății.

Sursele disponibile conțin informații despre cursul/laboratorul de **Rețele de Calculatoare în Automatizări** (din Departamentul AII), dar nu menționează explicit cine coordonează acest laborator.

Îți recomand să:
- Consulți pagina oficială a facultății: [acs.pub.ro](https://acs.pub.ro) sau [aii.pub.ro](https://aii.pub.ro)
- Contactezi secretariatul facultății pentru informații actualizate",
5,Care este cadrul didactic responsabil de disciplina Algoritmi și Structuri de Date?,"Conform informațiilor disponibile, disciplina **Structuri de Date și Algoritmi** (denumită și Algoritmi și Structuri de Date) are următorii titulari:

- **Conf. dr. ing. Andreea Udrea**
- **Prof. dr. ing. Mihai Caramihai**
- **Șef de lucrări dr. ing. Cristian Rusu**

Aceștia sunt responsabili atât de activitățile de curs, cât și de activitățile de seminar/laborator/proiect.",
6,Cine predă Programare Orientată pe Obiecte în anul II?,"Pe baza informațiilor disponibile, nu pot să îți spun cu certitudine cine predă în prezent cursul de **Programare Orientată pe Obiecte** în anul II.

Din sursele disponibile, știu că:

- **Florina-Oana Mitrut** a publicat cartea *„Programare orientată pe obiecte în limbajul Java""* (împreună cu Mihai Dascălu, la Politehnica Press, 2020), ceea ce sugerează o implicare în această disciplină.
- Cursul **POO** este prevăzut în **semestrul 3 (toamnă)** al anului II, atât în planurile de învățământ din 2012-2016, cât și în cel din 2020/2021.

Totuși, nu am informații explicite despre titularul actual al cursului. Îți recomand să verifici:

- **Orarul facultății** pe site-ul oficial
- **Platforma cursurilor** (cs.pub.ro sau acs.pub.ro)
- **Secretariatul facultății** pentru informații actualizate despre cadrul didactic titular",
7,Care este titularul cursului de Inteligență Artificială?,"Întrebarea ta despre titularul cursului de „Inteligență Artificială"" necesită o clarificare, deoarece există mai multe cursuri cu denumiri similare în cadrul facultății, în funcție de programul de studiu:

1. **Inteligență artificială orientată către factorul uman** (program de master) – titular curs: **Prof. dr. ing. Ștefan Trăușan-Matu**

2. **Inteligență artificială simbolică** (program de master) – titular curs: **Șef lucrări dr. ing. David-Traian Iancu**

3. **Artificial Intelligence** (curs de licență, direcțiile C3 și C4, inclusiv FILS) – titular: **Adina Magda Florea** / **Șerban Radu**

Dacă ai în vedere un anumit program de studiu sau an de studiu, te rog să precizezi pentru a-ți oferi un răspuns mai exact.",
8,Cine este șeful departamentului de Calculatoare?,"Din informațiile disponibile, nu pot identifica explicit cine este **șeful Departamentului de Calculatoare**. Sursele disponibile nu menționează direct această funcție pentru departament.

Totuși, din informațiile despre conducerea facultății, pot oferi câteva detalii relevante despre Departamentul de Calculatoare:

- **Reprezentanții în Senatul Universității** din partea Departamentului de Calculatoare sunt: Prof. dr. ing. Adina Magda Florea, Prof. dr. ing. Ciprian-Mihai Dobre, Prof. dr. ing. Alin Moldoveanu, Prof. dr. ing. Razvan Rughinis, Prof. dr. ing. Emil Slușanschi și Prof. dr. ing. Nicolae Țăpuș.
- **Responsabil pentru asigurarea calității** în Departamentul de Calculatoare este Prof. dr. ing. Anca Andreea MORAR.

Pentru informații precise despre șeful departamentului, vă recomand să consultați direct site-ul facultății (acs.pub.ro) sau să contactați secretariatul facultății la **decanat@acs.pub.ro** sau la numărul **021 402 94 94**.",
9,Care profesor coordonează lucrările de diplomă la specializarea CTI?,"Pe baza informațiilor disponibile, nu pot oferi un răspuns complet și actualizat cu privire la toți profesorii care coordonează lucrările de diplomă la specializarea CTI.

Din sursele disponibile, pot menționa câteva informații relevante:

- **Conf.dr.ing. Cătălin Leordeanu** coordonează studenți pentru realizarea proiectelor de diplomă și dizertație în domeniile analizei datelor, securității și anonimatului în sistemele distribuite la scară largă.
- **Conf.dr.ing. Andrei Olaru** coordonează studenți la stagii, lucrări de diplomă și disertații, cu focus pe sisteme multi-agent, învățare automată și inteligență ambientală.

De asemenea, din componența comisiilor de examen de disertație din iunie 2020 pentru domeniul CTI, au făcut parte profesori precum **Prof.dr.ing. Decebal Popescu**, **Conf.dr.ing. Răzvan Deaconescu**, **Conf.dr.ing. Marios Choudary** și alții.

Pentru informații complete și actualizate despre profesorii care coordonează lucrările de diplomă la specializarea CTI, vă recomand să:
- Consultați **secretariatul facultății**
- Accesați **site-ul oficial al ACS** (acs.pub.ro)
- Contactați direct **departamentul de Calculatoare**",
10,Cine predă Arhitectura Calculatoarelor?,"Nu dețin informații specifice despre cadrul didactic care predă cursul de **Arhitectura Calculatoarelor** la nivel de licență, pe baza surselor disponibile.

Sursele furnizate conțin informații despre:
- **Direcția C1: Arhitectura calculatoarelor** – ca specializare/pachet opțional în planul de învățământ de licență
- **Programul de masterat „Arhitecturi Avansate de Calculatoare"" (AAC)** – coordonat de **Prof. Dr. Ing. Nicolae Tapuș**

Pentru a afla cine predă cursul de Arhitectura Calculatoarelor la licență, vă recomand să consultați:
- **Orarul facultății** disponibil pe site-ul [acs.pub.ro](http://acs.pub.ro)
- **Secretariatul facultății**
- **Pagina cursului** pe platforma de e-learning a facultății",
